index
seconds,0.5,,instant,t0,0,ba,0
seconds,0.5,,special,ms,80,30
pos,0.0625,,special,ms,110,40
pos,0.125,,lightning,t4,255,53
pos,0.1875,,lightning,t1,255,54
pos,0.25,,lightning,t4,255,59
pos,0.3125,,lightning,ba,100,45
pos,0.375,,lightning,t1,255,48
pos,0.4375,,lightning,t0,255,56
pos,0.5,,lightning,t4,255,58
pos,0.5625,,lightning,t0,255,43
pos,0.625,,lightning,t5,255,56
pos,0.6875,,lightning,ba,100,56
pos,0.75,,lightning,t1,255,57
pos,0.8125,,lightning,t5,255,49
pos,0.875,,lightning,t4,255,48
pos,0.9375,,lightning,t1,255,52
pos,1.0,,lightning,ba,100,56
pos,1.0625,,lightning,t4,255,48
pos,1.125,,lightning,t0,255,59
pos,1.1875,,lightning,t4,255,51
pos,1.25,,lightning,t0,255,45
pos,1.3125,,lightning,ba,100,56
pos,1.375,,lightning,t4,255,47
pos,1.4375,,lightning,ba,100,46
pos,1.5,,lightning,t0,255,60
pos,1.5625,,lightning,t5,255,45
pos,1.625,,lightning,t0,255,41
pos,1.6875,,lightning,t4,255,49
pos,1.75,,lightning,t5,255,58
pos,1.8125,,lightning,t0,255,48
pos,1.875,,lightning,t1,255,45
pos,1.9375,,lightning,ba,100,52
pos,2.0,,lightning,t5,255,42
pos,2.0625,,lightning,t1,255,60
pos,2.125,,lightning,t5,255,41
pos,2.1875,,lightning,t4,255,45
pos,2.25,,lightning,t1,255,59
pos,2.3125,,lightning,t0,255,54
pos,2.375,,lightning,ba,100,60
pos,2.4375,,lightning,t0,255,43
pos,2.5,,instant,ta,0,ba,0
pos,2.5,,special,ms,0,30
