index
seconds,0,,instant,ta,0,ba,0
seconds,0,,special,ms,100,30
pos,0.5,,special,tr
seconds,0.0,,lightning,t1,8,25
seconds,0.018,,lightning,ba,6,26
seconds,0.04,,lightning,t4,26,25
seconds,0.059,,lightning,ba,12,26
seconds,0.077,,lightning,t5,43,28
seconds,0.096,,lightning,ba,18,29
seconds,0.116,,lightning,t1,61,26
seconds,0.138,,lightning,ba,24,27
seconds,0.159,,lightning,t4,79,25
seconds,0.181,,lightning,ba,31,32
seconds,0.199,,lightning,t1,96,26
seconds,0.22,,lightning,ba,37,27
seconds,0.238,,lightning,t5,114,30
seconds,0.26,,lightning,ba,43,31
seconds,0.283,,lightning,t0,131,31
seconds,0.306,,lightning,ba,49,29
seconds,0.327,,lightning,t5,149,31
seconds,0.345,,lightning,ba,55,29
seconds,0.364,,lightning,t1,167,32
seconds,0.384,,lightning,ba,62,29
seconds,0.404,,lightning,t0,184,29
seconds,0.423,,lightning,ba,68,25
seconds,0.443,,lightning,t5,202,32
seconds,0.465,,lightning,ba,74,26
seconds,0.488,,lightning,t0,219,25
seconds,0.507,,lightning,ba,80,31
seconds,0.525,,lightning,t1,237,28
seconds,0.546,,lightning,ba,86,29
seconds,0.565,,lightning,t4,255,32
seconds,0.588,,lightning,ba,90,28
seconds,0.61,,lightning,t1,255,32
seconds,0.63,,lightning,ba,90,28
seconds,0.652,,lightning,t0,255,30
seconds,0.673,,lightning,ba,90,28
seconds,0.692,,lightning,t5,255,32
seconds,0.712,,lightning,ba,90,31
seconds,0.734,,lightning,t4,255,26
seconds,0.755,,lightning,ba,90,28
seconds,0.774,,lightning,t0,255,31
seconds,0.792,,lightning,ba,90,29
seconds,0.813,,lightning,t5,255,31
seconds,0.835,,lightning,ba,90,30
seconds,0.855,,lightning,t0,255,30
seconds,0.873,,lightning,ba,90,26
seconds,0.893,,lightning,t1,255,25
seconds,0.916,,lightning,ba,90,27
seconds,0.938,,lightning,t4,255,28
seconds,0.959,,lightning,ba,90,26
seconds,0.979,,lightning,t0,255,31
seconds,1.002,,lightning,ba,90,32
seconds,1.022,,lightning,t5,255,26
seconds,1.043,,lightning,ba,90,26
seconds,1.063,,lightning,t4,255,26
seconds,1.082,,lightning,ba,90,29
seconds,1.104,,lightning,t5,255,31
seconds,1.122,,lightning,ba,90,25
seconds,1.14,,lightning,t1,255,25
seconds,1.158,,lightning,ba,90,26
seconds,1.178,,lightning,t4,255,25
seconds,1.198,,lightning,ba,90,28
seconds,1.218,,lightning,t1,255,31
seconds,1.237,,lightning,ba,90,32
seconds,1.255,,lightning,t0,255,26
seconds,1.276,,lightning,ba,90,28
seconds,1.294,,lightning,t1,255,31
seconds,1.314,,lightning,ba,90,28
seconds,1.334,,lightning,t4,255,30
