Trigger Type,Trigger From,Trigger To,Command Type,,,,
seconds,0,,instant,ta,0,ba,0
seconds,0.5,,special,tb,100,,
seconds,25.5,,instant,ta,5,ba,5
seconds,26,,special,tb,100,,
seconds,51,,instant,ta,10,ba,10
seconds,51.5,,special,tb,100,,
seconds,76.5,,instant,ta,15,ba,15
seconds,77,,special,tb,100,,
seconds,102,,instant,ta,30,ba,30
seconds,102.5,,special,tb,100,,
seconds,127.5,,instant,ta,60,ba,60
seconds,128,,special,tb,100,,
seconds,153,,instant,ta,90,ba,90
seconds,153.5,,special,tb,100,,
seconds,178.5,,instant,ta,120,ba,120
seconds,179,,special,tb,100,,
seconds,204,,instant,ta,190,ba,190
seconds,204.5,,special,tb,100,,
seconds,229.5,,instant,ta,255,ba,255
seconds,230,,special,tb,100,,
seconds,255,,instant,ta,255,ba,255
