Trigger Type,Trigger From,Trigger To,Command Type,,,,
seconds,0,,instant,ta,0,ba,0
seconds,0.5,,special,tb,90,,
seconds,23,,instant,ta,30,ba,30
seconds,23.5,,special,tb,90,,
seconds,46,,instant,ta,60,ba,60
seconds,46.5,,special,tb,90,,
seconds,69,,instant,ta,90,ba,90
seconds,69.5,,special,tb,90,,
seconds,92,,instant,ta,120,ba,120
seconds,92.5,,special,tb,90,,
seconds,115,,instant,ta,150,ba,150
seconds,115.5,,special,tb,90,,
seconds,138,,instant,ta,180,ba,180
seconds,138.5,,special,tb,90,,
seconds,161,,instant,ta,210,ba,210
seconds,161.5,,special,tb,90,,
seconds,184,,instant,ta,240,ba,240
seconds,184.5,,special,tb,90,,
seconds,207,,instant,ta,255,ba,255
seconds,207.5,,special,tb,90,,
seconds,230,,instant,ta,255,ba,255
