seconds,0,,ta,0,ba,0
seconds,0,,special,ms,100,30
pos,0.5,,special,tr
seconds,0,,lightningbezierdimm,ta,80,0,1,51,94,100,48,70
seconds,0.57,,lightningbezierdimm,ba,90,0,1,50,46,48,89,70
seconds,1.14,,lightningbezierdimm,ta,80,0,1,2,64,62,27,70
seconds,1.71,,lightningbezierdimm,ba,90,0,1,71,83,26,64,70
seconds,2.28,,lightningbezierdimm,ta,80,0,1,18,86,64,68,70
seconds,2.8499999999999996,,lightningbezierdimm,ba,90,0,1,89,81,34,97,70
seconds,3.4199999999999995,,lightningbezierdimm,ta,80,0,1,87,38,95,19,70
seconds,3.9899999999999993,,lightningbezierdimm,ba,90,0,1,13,29,63,64,70
seconds,4.56,,lightningbezierdimm,ta,80,0,1,88,50,38,28,70
seconds,5.13,,lightningbezierdimm,ba,90,0,1,38,18,69,12,70
seconds,5.7,,lightningbezierdimm,ta,80,0,1,58,82,6,82,70
seconds,6.2700000000000005,,lightningbezierdimm,ba,90,0,1,10,21,37,99,70
seconds,6.840000000000001,,lightningbezierdimm,ta,80,0,1,92,24,100,41,70
seconds,7.410000000000001,,lightningbezierdimm,ba,90,0,1,62,11,81,78,70
seconds,7.980000000000001,,lightningbezierdimm,ta,80,0,1,24,27,86,42,70
seconds,8.55,,lightningbezierdimm,ba,90,0,1,75,46,58,100,70
seconds,9.120000000000001,,lightningbezierdimm,ta,80,0,1,82,23,64,67,70
seconds,9.690000000000001,,lightningbezierdimm,ba,90,0,1,11,17,43,54,70
seconds,10.260000000000002,,lightningbezierdimm,ta,80,0,1,81,76,90,59,70
seconds,10.830000000000002,,lightningbezierdimm,ba,90,0,1,65,85,3,27,70
seconds,11.400000000000002,,instant,ta,0,ba,0
seconds,11.400000000000002,,special,ms,0,30
