Trigger Type,Trigger From,Trigger To,Command Type,,,,,,
seconds,0,,special,ms,80,40,,,
seconds,0,,instant,ba,50,,,,
pos,0.9,,instant,ba,0,,,,
pos,0.9,,special,TRIGGER_DOWN,,,,,
pos,1,,special,tr,,,,,
pos,1,,lightning,ta,255,3,ba,140,3
seconds,0.5,,lightning,ta,255,3,ba,140,3
seconds,1,,lightning,ta,255,3,ba,140,3
pos,1.3,,special,TRIGGER_UP,,,,,
pos,1.6,,special,ms,0,40,,,
