Trigger Type,Trigger From,Trigger To,Command Type,,,,
seconds,0,,instant,ta,0,ba,0
seconds,0.5,,instant,ta,100
seconds,1,3.805,instanttolinear,ta,0,100
seconds,3.5,,instant,ta,0,,
seconds,4,6.805,instanttolinear,ta,100,0
seconds,7,,instant,ta,0,,
